,popularity
62353,47
221121,27
169060,32
118256,61
135057,29
77950,63
43766,55
112490,64
89357,54
55297,3
593,7
111425,72
188632,22
75536,0
210993,46
86410,20
99618,49
192982,58
145735,57
25173,45
170463,22
196834,41
188706,26
213969,54
53842,31
57967,37
58352,24
20241,59
199060,39
74983,0
169436,28
33533,17
125681,38
5542,52
85343,43
159026,45
84275,42
222555,61
98368,53
123429,46
204563,27
55090,64
113246,65
132261,33
157518,33
160691,42
15067,64
45908,60
201021,38
7234,38
126994,29
229089,40
170423,23
126907,34
42198,60
37642,34
25064,43
43307,60
100837,56
206575,31
63129,45
105934,9
215353,60
183780,17
161139,35
76445,0
92179,50
62725,46
224548,60
79490,20
62043,47
86314,42
51577,31
54724,71
174725,14
153872,59
112908,67
152155,61
105797,5
43516,48
166786,68
50621,31
181755,64
101010,57
132676,39
129718,28
129426,25
24719,38
3951,41
9390,49
152653,68
64212,39
152249,58
123485,40
202418,26
165637,26
18342,51
68590,76
59532,55
16559,61
72808,4
11499,46
73938,0
210896,47
198899,38
125839,37
42018,55
121208,53
102893,51
53092,32
163171,31
140985,57
23022,45
170663,22
204865,29
191966,77
106964,8
43919,52
76727,0
199726,47
113104,62
129910,35
137843,29
8690,37
135979,33
41611,60
204461,28
86752,45
30880,25
175259,14
155450,46
71569,24
174446,14
16092,64
89884,54
76162,0
208165,41
173710,18
134554,29
20358,48
95123,55
165658,18
140878,48
135792,29
57451,56
165268,14
140606,51
62342,48
16567,61
29565,34
188429,27
116416,58
164827,28
113690,69
182867,23
58567,22
95263,59
212406,69
120945,54
63227,42
63240,44
13188,40
54678,12
4284,38
232649,42
77258,66
158387,54
199513,39
67397,70
58380,23
102203,46
163943,26
133012,39
142837,56
102379,68
125608,34
102883,52
102260,48
183089,25
30644,26
46043,56
94797,59
187719,20
229749,45
226990,51
231662,43
213505,55
129763,26
167372,44
131025,41
218742,4
166145,80
169482,27
183202,20
162685,39
89976,49
162615,49
88685,60
115926,63
215388,46
77882,65
42848,59
175761,13
49326,27
113777,67
10501,49
169124,28
4046,38
176793,44
208742,44
226563,56
68081,65
21619,43
15334,61
58935,22
139215,70
187393,29
47478,39
101243,45
117194,63
106040,5
95655,58
166689,68
68196,66
151173,65
141100,52
50607,31
199538,43
35788,8
107863,85
145273,51
69820,58
171903,18
154715,54
163102,29
158125,30
97280,62
100977,49
126350,35
62042,53
68421,60
120273,71
53556,31
28290,58
22268,72
201991,51
158805,48
99392,53
9975,49
58377,28
162448,35
60818,36
52483,24
31699,15
21851,48
229065,47
127034,36
213453,55
24347,38
153401,60
218085,30
175615,12
204124,22
9025,36
225721,55
181974,41
150068,65
189604,21
101029,54
122631,52
18791,53
7979,38
152094,69
209413,38
220267,23
55033,55
57918,3
217080,41
104288,10
89261,52
107596,10
214808,50
209210,40
216025,51
185097,26
183065,25
86826,40
98124,57
181241,40
160220,32
152442,72
232476,41
147372,42
159998,44
228575,41
59774,53
85299,43
44559,46
27155,39
91618,82
134696,27
208229,48
170232,23
160391,42
19508,50
27315,41
201185,35
101271,52
159030,35
230514,34
216216,43
95879,59
138538,20
27602,39
92469,52
88442,53
123711,56
133425,29
3996,39
179345,37
131553,43
217294,33
46635,53
143544,52
221754,18
207293,56
218715,4
113495,66
208796,39
152218,55
171994,29
212768,61
192241,67
120989,53
16009,61
137742,36
64267,50
208010,45
209879,38
66119,39
40852,63
163604,26
12778,40
33306,32
78505,67
98010,54
128588,26
189732,32
15547,67
141760,48
94005,61
53711,30
108120,77
180303,37
119217,60
108485,73
98554,58
38254,23
75198,0
17562,67
85970,39
169569,29
180015,40
76827,1
58277,23
211810,10
206166,37
205814,22
71807,23
118718,55
49347,32
169120,30
104184,13
42972,53
86292,49
192866,57
135617,24
169973,25
106903,10
216499,44
125413,44
207093,27
105813,3
17419,56
224348,62
58549,25
4321,40
169611,26
118337,57
10456,44
153216,65
100008,55
10259,45
191667,17
132746,48
46545,41
40294,36
36780,30
177704,37
52539,24
229374,42
33770,24
54881,58
103768,52
120652,52
171060,21
163166,28
150644,59
78972,59
45972,55
117567,61
208892,51
188400,23
196687,33
175843,12
193110,56
129428,33
73123,3
50630,26
270,65
228267,46
124133,35
195366,0
8273,42
82063,9
208008,47
46273,60
180516,33
189116,21
157562,35
101731,49
109983,64
83619,47
71877,23
68979,62
85948,47
89683,51
12338,44
195205,6
78270,58
103548,44
122234,53
202607,30
138118,43
27650,51
170552,24
193561,55
88293,55
182767,29
107460,8
188334,23
223785,60
159401,43
186348,30
40097,20
75973,0
170017,25
200815,40
118940,53
55403,4
222636,60
220344,26
190860,19
56145,9
63507,46
139243,63
108970,75
163212,24
157150,47
77665,70
135618,33
11739,44
79777,17
101673,49
80795,14
193163,56
17793,58
206126,21
108849,84
64889,51
223781,59
102907,49
68621,70
64489,42
77981,66
155768,50
132027,35
204324,26
22799,54
124124,43
187079,25
30998,25
78657,63
120739,50
194239,24
153038,54
43192,53
28444,36
75825,3
62127,46
46068,46
191838,40
230263,45
192948,62
8881,35
216853,37
47755,36
202877,29
116463,58
78475,59
53157,24
218116,33
136194,24
214603,49
10147,45
159389,43
208043,43
181372,32
151169,58
153904,55
184896,32
203341,31
196309,5
146109,47
66415,42
