iter	Passed	Remaining
399	56705	14176
400	56838	14032
401	56985	13892
402	57121	13748
403	57259	13606
404	57406	13465
405	57549	13324
406	57693	13183
407	57836	13041
408	57975	12899
409	58112	12756
410	58249	12613
411	58393	12472
412	58533	12330
413	58680	12189
414	58819	12047
415	58944	11902
416	59093	11761
417	59238	11621
418	59385	11480
419	59529	11338
420	59668	11196
421	59810	11055
422	59956	10914
423	60097	10772
424	60237	10630
425	60366	10486
426	60511	10345
427	60656	10203
428	60800	10062
429	60944	9921
430	61098	9781
431	61237	9639
432	61381	9497
433	61518	9355
434	61658	9213
435	61788	9069
436	61921	8926
437	62062	8785
438	62211	8644
439	62354	8502
440	62500	8361
441	62641	8219
442	62788	8078
443	62925	7936
444	63076	7795
445	63229	7655
446	63376	7514
447	63523	7373
448	63661	7231
449	63804	7089
450	63945	6947
451	64092	6806
452	64240	6665
453	64378	6522
454	64524	6381
455	64670	6240
456	64822	6099
457	64962	5957
458	65105	5815
459	65244	5673
460	65394	5532
461	65536	5390
462	65689	5249
463	65833	5107
464	65980	4966
465	66123	4824
466	66263	4682
467	66412	4541
468	66553	4399
469	66695	4257
470	66847	4115
471	66995	3974
472	67143	3832
473	67285	3690
474	67428	3548
475	67573	3407
476	67713	3264
477	67853	3122
478	67995	2981
479	68129	2838
480	68272	2696
481	68419	2555
482	68554	2412
483	68702	2271
484	68843	2129
485	68980	1987
486	69123	1845
487	69263	1703
488	69404	1561
489	69544	1419
490	69686	1277
491	69828	1135
492	69970	993
493	70111	851
494	70254	709
495	70394	567
496	70532	425
497	70672	283
498	70819	141
499	70971	0
